epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1028.55,1.66992,2.8944,3.86568,2.22504,0.34637,0.28,0.17551,0.04001,0,0,0,0,3.15325,72.9604,2.80175,3.59599,0.0807211,0.000194737,0.000194737
2,1999.26,1.83099,2.69175,1.86647,2.36953,0.24749,0.85333,0.59361,0.18089,0.22816,0.78667,0.50895,0.14095,1.94092,7.84198,17.606,3.19455,0.060921,0.00039467,0.00039467
3,2966.03,1.87358,2.46245,1.94739,2.41335,0.17205,0.81333,0.34028,0.08816,0.14384,0.68,0.26576,0.06115,2.26784,7.58904,17.732,3.40712,0.0411206,0.000594333,0.000594333
4,3933.75,1.90812,2.31851,1.97304,2.44914,0.03844,0.64,0.04034,0.00924,0.05978,0.14667,0.01691,0.00272,2.85993,22.4445,78.6935,7.38297,0.0213198,0.000793524,0.000793524
5,4896.88,1.72601,2.27887,1.86074,2.28703,0.01136,0.66667,0.00998,0.00273,0,0,0,0,2.63805,28.5777,45.6359,3.30175,0.00151836,0.000992039,0.000992039
6,5858.63,1.75575,2.13396,1.82134,2.26325,0.08484,0.2,0.0717,0.01715,0.06488,0.14667,0.07047,0.0131,2.84702,5.09694,27.4222,4.51518,0.000995765,0.000995765,0.000995765
7,6824.19,1.73812,2.13036,1.76236,2.31974,0.1075,0.38667,0.07903,0.02375,0.1753,0.22667,0.07952,0.01785,2.72517,5.21536,10.647,3.5269,0.000993906,0.000993906,0.000993906
8,7788.34,1.78706,2.06629,1.78629,2.30737,0.37524,0.60062,0.40982,0.11616,0.44366,0.65333,0.49147,0.13432,2.28072,2.73232,3.6992,3.13405,0.000991711,0.000991711,0.000991711
9,8747.48,1.67398,1.99717,1.69575,2.19257,0.35656,0.56,0.39696,0.11869,0.31466,0.50667,0.27884,0.08375,2.21142,3.43672,2.25569,2.75115,0.000989183,0.000989183,0.000989183
10,9709.13,1.49542,1.90827,1.50149,2.05973,0.65681,0.79109,0.75522,0.3128,0.62841,0.74414,0.64605,0.26331,1.87101,2.18718,1.64588,2.35703,0.000986323,0.000986323,0.000986323
11,10672.9,1.67822,2.11289,1.65245,2.17533,0.37123,0.58667,0.41192,0.15664,0.41502,0.59597,0.38416,0.11656,2.10193,2.30165,4.19948,2.95964,0.000983133,0.000983133,0.000983133
12,11642.2,1.57318,1.86687,1.57844,2.10136,0.62345,0.76,0.71694,0.25319,0.66014,0.8,0.7539,0.28976,2.21172,1.89211,2.23899,2.9641,0.000979616,0.000979616,0.000979616
13,12603.8,1.46694,1.87116,1.44242,2.03908,0.58,0.75495,0.64934,0.27413,0.61036,0.79371,0.67637,0.27107,1.80391,2.29134,1.68956,2.31243,0.000975773,0.000975773,0.000975773
14,13567.7,1.49545,1.73655,1.4214,2.07078,0.42668,0.44,0.32635,0.117,0.50002,0.52,0.35513,0.11743,2.15633,2.54262,2.05539,2.73618,0.000971608,0.000971608,0.000971608
15,14526.3,1.48127,1.7512,1.37213,2.03393,0.64776,0.86667,0.76615,0.35712,0.64776,0.85823,0.74714,0.33337,1.7871,1.67893,1.52684,2.3493,0.000967122,0.000967122,0.000967122
16,15482.5,1.4394,1.67229,1.3569,2.01482,0.71795,0.78667,0.80574,0.3713,0.71795,0.78667,0.81835,0.30955,1.6463,1.77065,1.70474,2.23553,0.00096232,0.00096232,0.00096232
17,16441.3,1.4955,1.66689,1.37504,2.04525,0.45139,0.44982,0.44528,0.15004,0.429,0.36,0.27919,0.06279,2.0628,3.02989,2.51747,2.66053,0.000957205,0.000957205,0.000957205
18,17393,1.42898,1.72779,1.37746,2.02232,0.67452,0.58032,0.68942,0.35204,0.68994,0.6824,0.74733,0.34342,1.60685,1.65378,1.58585,2.10738,0.00095178,0.00095178,0.00095178
19,18349.7,1.41141,1.68593,1.36827,1.95838,0.72924,0.6,0.73835,0.33816,0.60154,0.81333,0.78148,0.42742,1.7407,1.13822,1.68092,2.22341,0.000946048,0.000946048,0.000946048
20,19305.2,1.38272,1.69386,1.273,1.95268,0.67215,0.79275,0.80429,0.44886,0.73024,0.86625,0.82495,0.40229,1.47006,1.41728,1.33847,1.95699,0.000940014,0.000940014,0.000940014
21,20261.3,1.41366,1.46583,1.30184,1.9715,0.74977,0.73333,0.7955,0.45507,0.74038,0.84,0.82853,0.49105,1.48535,1.11166,1.22298,2.0337,0.000933683,0.000933683,0.000933683
22,21219.3,1.30473,1.43386,1.20472,1.86282,0.76446,0.89333,0.91327,0.49283,0.797,0.83758,0.87859,0.49834,1.53759,1.20966,1.37555,2.00229,0.000927057,0.000927057,0.000927057
23,22179.8,1.26343,1.4634,1.20846,1.83866,0.69606,0.72,0.83164,0.45816,0.81435,0.73333,0.83595,0.44972,1.60446,1.41404,1.28354,2.09494,0.000920142,0.000920142,0.000920142
24,23134.3,1.27699,1.45346,1.17199,1.86521,0.75216,0.84977,0.86636,0.48202,0.83065,0.88,0.91597,0.47996,1.48301,1.26123,1.12894,1.99453,0.000912942,0.000912942,0.000912942
25,24088.8,1.25374,1.38713,1.22014,1.81417,0.67287,0.74053,0.79324,0.41274,0.76075,0.81333,0.8737,0.49911,1.57026,1.15846,1.28581,2.13144,0.000905463,0.000905463,0.000905463
26,25044.3,1.17789,1.3959,1.15155,1.77542,0.85452,0.86667,0.92562,0.58787,0.84997,0.86667,0.93001,0.64106,1.20194,0.75708,1.02823,1.7226,0.00089771,0.00089771,0.00089771
27,26008.8,1.28801,1.44118,1.17266,1.84981,0.8156,0.84,0.87992,0.49078,0.7949,0.8785,0.89803,0.54896,1.43996,0.90268,1.12817,1.96439,0.000889687,0.000889687,0.000889687
28,26964.2,1.22197,1.46578,1.18281,1.81489,0.75116,0.88551,0.82521,0.43684,0.79393,0.93333,0.84986,0.45744,1.39306,1.23372,1.33194,1.95007,0.000881401,0.000881401,0.000881401
29,27919.6,1.29132,1.54438,1.19948,1.8774,0.70695,0.80417,0.79547,0.39275,0.72276,0.85333,0.83079,0.40486,1.50596,1.25446,1.34151,1.99936,0.000872857,0.000872857,0.000872857
30,28873.2,1.22769,1.48453,1.19339,1.81204,0.84804,0.88,0.92774,0.55905,0.83519,0.86667,0.92313,0.56803,1.28086,0.89615,1.05677,1.73794,0.00086406,0.00086406,0.00086406
31,29828.5,1.20802,1.36893,1.17504,1.74142,0.76476,0.86694,0.89316,0.52115,0.79918,0.92,0.90341,0.59415,1.3179,0.78426,1.09536,1.79987,0.000855018,0.000855018,0.000855018
32,30783,1.13931,1.45799,1.10229,1.75744,0.78662,0.93392,0.91905,0.537,0.80326,0.96,0.91058,0.5571,1.29536,1.05453,0.96493,1.83105,0.000845736,0.000845736,0.000845736
33,31735.1,1.19047,1.35258,1.11342,1.77085,0.75737,0.88,0.86335,0.51682,0.68609,0.8,0.74378,0.39649,1.35341,1.73434,1.1333,1.8877,0.00083622,0.00083622,0.00083622
34,32690.3,1.18731,1.46325,1.1559,1.74626,0.79724,0.8388,0.85986,0.51586,0.79724,0.8388,0.87519,0.49121,1.30049,1.23224,1.12328,1.86072,0.000826477,0.000826477,0.000826477
35,33649.1,1.12804,1.43547,1.11665,1.73317,0.78361,0.88,0.89933,0.57417,0.78464,0.9716,0.92569,0.57838,1.15695,0.88424,1.46351,1.67153,0.000816514,0.000816514,0.000816514
36,34603.2,1.18785,1.38873,1.15586,1.81144,0.79202,0.86323,0.91168,0.58198,0.80403,0.87532,0.92376,0.57451,1.21904,1.00768,1.17408,1.68233,0.000806337,0.000806337,0.000806337
37,35553,1.07993,1.33141,1.11935,1.67036,0.8573,0.80106,0.87692,0.5166,0.92891,0.87115,0.93501,0.54384,1.30319,1.04567,1.21816,1.89235,0.000795954,0.000795954,0.000795954
38,36512.3,1.11732,1.23255,1.07615,1.67237,0.79034,0.90475,0.8875,0.52646,0.85164,0.96,0.9446,0.53967,1.27734,0.93436,1.2978,1.8285,0.000785371,0.000785371,0.000785371
39,37466.4,1.06601,1.28315,1.0681,1.6642,0.83053,0.84947,0.88793,0.56061,0.8559,0.87117,0.91543,0.62258,1.1263,0.7883,0.94949,1.68993,0.000774596,0.000774596,0.000774596
40,38427.2,1.11553,1.30758,1.06909,1.70884,0.74041,0.92,0.91359,0.5955,0.74041,0.92,0.91038,0.63224,1.1036,0.80735,0.92079,1.59424,0.000763637,0.000763637,0.000763637
41,39379.1,1.04346,1.29202,1.0429,1.64477,0.82594,0.92,0.93012,0.59975,0.81212,0.86453,0.89272,0.52082,1.19974,1.37305,0.84977,1.68263,0.0007525,0.0007525,0.0007525
42,40337.3,1.06069,1.17749,1.02738,1.66062,0.87188,0.90734,0.95979,0.63642,0.83738,0.92,0.95743,0.65725,1.1513,0.74673,0.9554,1.62359,0.000741194,0.000741194,0.000741194
