epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.113,2.64712,4.206,2.71796,0.75326,0.13553,0.09229,0.02747,2.87091,5.92033,3.1479,0.06722,0.000331111,0.000331111
2,696.965,2.63816,3.94565,2.82528,0.10186,0.09824,0.06218,0.02036,2.82356,6.20992,3.09944,0.03422,0.000664404,0.000664404
3,1043.52,2.59738,3.88688,2.79931,0.82267,0.08791,0.09143,0.02439,2.69154,6.7923,2.85023,0.00121976,0.000997534,0.000997534
4,1402.22,2.56226,3.81214,2.84922,0.75339,0.17216,0.07725,0.03088,2.5705,4.85049,2.79615,0.00099945,0.00099945,0.00099945
5,1898.57,2.54221,3.68401,2.80464,0.85516,0.15018,0.15976,0.06057,2.6475,3.83204,2.81611,0.000999023,0.000999023,0.000999023
6,2395.75,2.50372,3.60978,2.67767,0.80487,0.14286,0.13129,0.04178,2.60247,3.71564,2.68529,0.000998474,0.000998474,0.000998474
7,2913.71,2.477,3.59711,2.66193,0.85127,0.1455,0.16632,0.05967,2.46901,4.08464,2.57882,0.000997803,0.000997803,0.000997803
8,3337.13,2.45538,3.63607,2.63174,0.86107,0.17216,0.18913,0.08274,2.5182,3.67093,2.66527,0.000997011,0.000997011,0.000997011
9,3843.59,2.41018,3.5594,2.64975,0.83628,0.15018,0.15457,0.06235,2.46772,3.41663,2.57628,0.000996097,0.000996097,0.000996097
10,4164.6,2.37947,3.47355,2.5863,0.53326,0.20087,0.21147,0.08982,2.38056,3.22403,2.53034,0.000995062,0.000995062,0.000995062
11,4446.17,2.33293,3.47594,2.54272,0.27413,0.24711,0.18191,0.07689,2.38886,3.35077,2.4831,0.000993906,0.000993906,0.000993906
12,4767.15,2.36747,3.48649,2.58737,0.42703,0.22299,0.24874,0.09769,2.43529,3.21068,2.56968,0.000992629,0.000992629,0.000992629
13,5424.88,2.35434,3.38189,2.59299,0.49116,0.22207,0.23511,0.0954,2.38776,3.12867,2.51183,0.000991232,0.000991232,0.000991232
14,5848.16,2.34156,3.38071,2.55713,0.43882,0.19923,0.23853,0.1069,2.36422,3.4946,2.51093,0.000989715,0.000989715,0.000989715
15,6286.36,2.32627,3.31528,2.56149,0.76428,0.18493,0.25551,0.12003,2.36296,3.1195,2.47095,0.000988079,0.000988079,0.000988079
16,6674.11,2.32002,3.36508,2.53184,0.50039,0.19638,0.23762,0.08852,2.39725,3.88619,2.49572,0.000986323,0.000986323,0.000986323
17,7070.46,2.30379,3.28282,2.53136,0.29199,0.28245,0.26264,0.11743,2.2856,2.99745,2.39221,0.000984449,0.000984449,0.000984449
